Id,SalePrice
1461,125498.01
1462,161369.72
1463,184970.66
1464,189612.34
1465,184097.11
1466,172451.0
1467,180828.73
1468,164669.17
1469,191425.8
1470,127902.62
1471,200478.31
1472,97923.81
1473,100330.414
1474,157390.36
1475,117653.06
1476,372277.7
1477,261602.78
1478,281677.28
1479,284050.44
1480,492889.78
1481,329113.6
1482,195072.75
1483,179867.86
1484,158729.7
1485,171498.34
1486,195005.84
1487,345498.3
1488,239256.66
1489,193370.58
1490,218807.36
1491,190417.64
1492,91641.734
1493,193397.9
1494,287567.34
1495,306676.9
1496,230688.12
1497,187307.33
1498,159259.2
1499,158723.58
1500,155366.6
1501,168641.34
1502,153560.69
1503,301731.34
1504,218858.81
1505,211313.0
1506,204733.77
1507,245172.38
1508,187741.05
1509,161818.16
1510,141657.86
1511,143129.22
1512,173223.62
1513,142140.11
1514,180510.23
1515,205336.2
1516,160858.44
1517,155541.1
1518,142122.73
1519,212396.48
1520,135300.39
1521,133288.11
1522,162656.8
1523,114671.766
1524,117125.47
1525,124480.03
1526,123157.31
1527,110341.77
1528,126058.43
1529,143442.1
1530,178374.17
1531,109559.3
1532,109095.59
1533,144442.14
1534,121152.86
1535,158584.67
1536,111814.766
1537,81941.66
1538,160396.52
1539,175463.03
1540,104000.234
1541,143681.02
1542,139648.89
1543,238065.6
1544,79616.945
1545,113042.88
1546,129381.33
1547,133232.05
1548,132478.95
1549,112755.62
1550,136699.75
1551,121948.26
1552,133048.88
1553,152414.4
1554,109652.82
1555,169650.1
1556,82664.94
1557,106748.79
1558,97370.59
1559,84857.43
1560,142849.6
1561,141186.98
1562,129160.97
1563,121387.63
1564,161337.84
1565,144297.39
1566,225296.02
1567,85090.03
1568,211567.34
1569,141331.16
1570,136977.95
1571,115147.56
1572,146477.77
1573,269973.34
1574,125219.945
1575,220829.5
1576,230880.34
1577,190546.08
1578,147495.22
1579,148189.86
1580,195352.08
1581,155824.98
1582,130795.6
1583,326884.4
1584,237221.7
1585,141979.58
1586,81567.6
1587,96431.21
1588,142982.08
1589,101558.16
1590,137456.3
1591,100787.28
1592,121219.63
1593,131681.6
1594,125970.92
1595,111752.67
1596,241617.72
1597,175168.42
1598,191446.84
1599,178746.1
1600,178379.28
1601,86552.35
1602,114363.375
1603,80398.9
1604,287786.22
1605,235169.58
1606,173116.92
1607,170608.88
1608,210133.67
1609,190238.52
1610,153293.45
1611,142089.81
1612,172158.56
1613,163144.25
1614,124942.414
1615,91625.23
1616,77332.625
1617,101084.92
1618,127548.766
1619,141604.86
1620,171769.94
1621,142121.64
1622,140558.64
1623,290653.3
1624,209903.8
1625,127315.64
1626,157479.61
1627,184381.28
1628,272881.9
1629,168958.95
1630,388177.3
1631,221692.83
1632,247509.16
1633,165852.03
1634,181158.12
1635,172702.55
1636,163619.88
1637,185373.06
1638,194835.36
1639,175618.89
1640,269357.56
1641,173931.47
1642,224830.72
1643,229053.94
1644,221566.4
1645,189359.0
1646,155877.7
1647,158793.22
1648,134439.52
1649,135480.19
1650,116672.19
1651,128104.92
1652,97768.11
1653,97683.586
1654,146878.67
